i: 0, k: 926, m: 1
Successful: CL/CD=28.0778, R=0.047972355503588915
Successful: CL/CD=28.8887, R=0.046874682419002056
Successful: CL/CD=24.3209, R=0.0635101362131536
Successful: CL/CD=30.5882, R=0.046284833922982216
Successful: CL/CD=33.0033, R=0.047199472319334745
Successful: CL/CD=30.9685, R=0.04518877947703004
Successful: CL/CD=38.7640, R=0.04440103052183986
Successful: CL/CD=24.1299, R=0.052040097303688526
Successful: CL/CD=28.3535, R=0.0475278883241117
Successful: CL/CD=37.7714, R=0.041502241510897875
Successful: CL/CD=33.4683, R=0.048915816470980644
Successful: CL/CD=15.1262, R=0.085298927500844
Successful: CL/CD=32.9522, R=0.0649790670722723
Successful: CL/CD=16.3366, R=0.06427295180037618
Successful: CL/CD=32.2256, R=0.04645963246002793
Successful: CL/CD=28.0942, R=0.04823165899142623
Successful: CL/CD=39.6196, R=0.0419121440500021
Successful: CL/CD=28.9371, R=0.05135602690279484
Successful: CL/CD=29.4953, R=0.046050311997532845
Successful: CL/CD=31.7617, R=0.04504254041239619
Successful: CL/CD=22.8454, R=0.05549827916547656
Successful: CL/CD=19.4621, R=0.06504401285201311
Successful: CL/CD=30.4027, R=0.0469905948266387
Successful: CL/CD=30.9153, R=0.049280884210020304
Successful: CL/CD=33.7251, R=0.04639536468312144
Successful: CL/CD=23.3855, R=0.0784607008099556
Successful: CL/CD=20.6374, R=0.05968122696503997
Successful: CL/CD=19.9244, R=0.06378690572455525
Successful: CL/CD=40.0075, R=0.04277884168550372
Successful: CL/CD=34.7338, R=0.045797346625477076
Successful: CL/CD=24.1026, R=0.05306324269622564
Successful: CL/CD=18.2858, R=0.08946133591234684
Successful: CL/CD=32.0563, R=0.047011774498969316
True 0.0035702225286513567
0.00494875805452466
Successful: CL/CD=25.1314, R=0.05060785124078393
Successful: CL/CD=24.5281, R=nan
Successful: CL/CD=16.6871, R=0.06226008338853717
Successful: CL/CD=30.7160, R=0.04835981922224164
Successful: CL/CD=34.3784, R=0.043872338719666004
Successful: CL/CD=22.7880, R=0.07818209566175938
Successful: CL/CD=19.4543, R=0.05876600602641702
Successful: CL/CD=25.5936, R=0.05062701320275664
Successful: CL/CD=32.1878, R=0.05193257797509432
Successful: CL/CD=36.4321, R=0.046235025860369205
Successful: CL/CD=23.9502, R=0.051830106414854527
Successful: CL/CD=37.8252, R=0.0492299129255116
Successful: CL/CD=38.0512, R=0.043562359642237425
Successful: CL/CD=32.9470, R=0.05024021724238992
Successful: CL/CD=24.8250, R=0.07268413156270981
Successful: CL/CD=32.0306, R=0.04503752151504159
Successful: CL/CD=37.2776, R=0.0437967861071229
Successful: CL/CD=20.9920, R=0.06640391424298286
Successful: CL/CD=23.4445, R=nan
Successful: CL/CD=25.8892, R=0.048843108117580414
Successful: CL/CD=34.1790, R=0.044857979752123356
True 0.0034416462294757366
0.005143440794199705
Successful: CL/CD=36.3487, R=0.04359955666586757
Successful: CL/CD=29.2922, R=0.046807479579001665
Successful: CL/CD=23.9170, R=0.053734222427010536
Successful: CL/CD=26.1971, R=0.07338309939950705
Successful: CL/CD=20.2922, R=0.05688132857903838
Successful: CL/CD=34.9299, R=0.04828121466562152
Successful: CL/CD=23.1411, R=0.05265055876225233
Successful: CL/CD=40.3739, R=0.04232561634853482
Successful: CL/CD=23.6751, R=0.062221855856478214
Successful: CL/CD=37.0505, R=0.042499256785959005
Successful: CL/CD=14.7223, R=0.06899230042472482
Successful: CL/CD=26.7096, R=0.07339873258024454
Successful: CL/CD=30.4844, R=0.045783900655806065
Successful: CL/CD=32.4153, R=0.04532276513054967
Successful: CL/CD=22.7298, R=0.0569270346313715
Successful: CL/CD=39.3437, R=0.040707253850996494
Successful: CL/CD=38.0480, R=0.041205503046512604
Successful: CL/CD=32.8911, R=0.04623146681115031
Successful: CL/CD=15.9365, R=0.08756470680236816
Successful: CL/CD=16.9140, R=0.06870107306167483
Successful: CL/CD=20.6623, R=0.058440195862203836
Successful: CL/CD=30.6845, R=0.049349818378686905
Successful: CL/CD=24.5623, R=0.056732678320258856
Successful: CL/CD=33.6932, R=0.045627889689058065
Successful: CL/CD=17.4388, R=0.06531840795651078
Successful: CL/CD=21.3540, R=0.059430289547890425
Successful: CL/CD=24.4154, R=0.08156987745314837
Successful: CL/CD=23.3617, R=0.05260290903970599
Successful: CL/CD=38.5040, R=0.0442474284209311
Successful: CL/CD=30.8542, R=0.045448292046785355
Successful: CL/CD=35.6708, R=0.043768341187387705
Successful: CL/CD=35.2962, R=0.05065798619762063
Successful: CL/CD=26.1053, R=0.04902242077514529
Successful: CL/CD=20.1250, R=0.060556736309081316
Successful: CL/CD=38.8019, R=0.0413790438324213
Successful: CL/CD=31.4736, R=0.046725498512387276
Successful: CL/CD=17.3502, R=0.0854973616078496
Successful: CL/CD=39.1588, R=0.043711456935852766
Successful: CL/CD=30.4888, R=0.04845870099961758
Successful: CL/CD=36.7893, R=nan
Successful: CL/CD=19.9186, R=0.06473077926784754
Successful: CL/CD=23.5469, R=0.05409271223470569
Successful: CL/CD=16.5856, R=0.06472709495574236
Successful: CL/CD=19.4083, R=0.06562864454463124
Successful: CL/CD=25.4863, R=0.06964003667235374
Successful: CL/CD=3.5256, R=0.21140947379171848
Successful: CL/CD=16.1549, R=0.06492102844640613
Successful: CL/CD=31.8708, R=0.0497222226113081
Successful: CL/CD=23.8370, R=0.05685537960380316
Successful: CL/CD=17.4186, R=nan
Successful: CL/CD=22.9729, R=0.07542642671614885
Successful: CL/CD=26.8136, R=0.05866028228774667
Successful: CL/CD=29.2422, R=0.050348286516964436
Successful: CL/CD=25.2515, R=0.05048946477472782
Successful: CL/CD=22.3401, R=0.0813797153532505
Successful: CL/CD=19.4242, R=0.06562428688630462
Successful: CL/CD=29.5342, R=0.04977103741839528
Successful: CL/CD=32.0314, R=0.05165808508172631
Successful: CL/CD=29.2959, R=0.055864471942186356
Successful: CL/CD=33.2569, R=0.048604662995785475
True 0.003985494375228882
0.0058578369207680225
Successful: CL/CD=23.4108, R=0.05705415504053235
Successful: CL/CD=34.5126, R=0.0494021400809288
Successful: CL/CD=29.7043, R=0.049020078498870134
Successful: CL/CD=26.8064, R=0.048654052428901196
Successful: CL/CD=29.8244, R=0.047240613494068384
Successful: CL/CD=36.7834, R=0.04261032259091735
Successful: CL/CD=25.6042, R=0.05059288255870342
Successful: CL/CD=29.4509, R=0.04699518159031868
Successful: CL/CD=24.3740, R=0.0704691307619214
Successful: CL/CD=31.3878, R=0.04599393950775266
Successful: CL/CD=20.2535, R=0.057679575867950916
Successful: CL/CD=36.6035, R=0.04419882223010063
Successful: CL/CD=36.0165, R=0.047441767528653145
Successful: CL/CD=22.1851, R=0.055174102541059256
Successful: CL/CD=30.5543, R=0.048518072348088026
Successful: CL/CD=27.3216, R=0.06783485971391201
Successful: CL/CD=18.5104, R=0.0900941975414753
Successful: CL/CD=40.0467, R=0.04233057424426079
Successful: CL/CD=34.1147, R=0.06782582867890596
Successful: CL/CD=20.0981, R=0.08810883667320013
Successful: CL/CD=15.4884, R=0.06693547545000911
Successful: CL/CD=20.0658, R=0.07441431377083063
Successful: CL/CD=22.1327, R=0.05870856484398246
